t,PINN_X,PINN_Y,PINN_Z,PWNN_X,PWNN_Y,PWNN_Z
0-10,7.09172206342857e-05,2.01764129741405e-05,2.211169104276665e-05,1.340093243058435e-06,3.2833018048022704e-06,5.668481576441296e-05
10-20,0.00027341171360575965,1.4635865874078041e-05,0.00010932648200944034,7.24246519897003e-05,3.100429959084767e-06,1.8734618831128204e-05
20-30,0.00047744702720895713,0.0002667778304924048,0.00033607660787615624,1.6755053641948103e-05,1.0082428980919014e-05,2.7906177513931685e-05
30-40,0.00012761321728870084,9.298264376604764e-06,0.00014644276285968646,4.9610167091639754e-05,8.872993894135747e-06,9.827260575667744e-06
40-50,0.0003152968961543758,0.00015709667750223673,0.00023909704469154267,0.00013859788363644672,0.00014135413519517388,1.158127270648865e-05
